department,Environment,subscription_name,resource_identifier,resource_type,resource_location,consecutive_days,description, potential monthly savings ,,,,,,
turkiz,prd,turkiz-starfish-soc60-prd-001,miluim-fe-prod-vm2-snapshot-disk,disks,westeurope,13,not attached to a vm,  28 ,,,"'miluim-fe-prod-vm2-snapshot-disk',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,dev,turkiz-starfish-paasmamram-dev-001,datacluster-f8mdw-dynamic-pvc-bc48c976-b0cb-4ca0-b1f5-657ef9c23925,disks,westeurope,13,not attached to a vm,  28 ,,,"'datacluster-f8mdw-dynamic-pvc-bc48c976-b0cb-4ca0-b1f5-657ef9c23925',",,,"'turkiz-starfish-paasmamram-dev-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,ad-for-oracle,disks,westeurope,13,not attached to a vm,  28 ,,,"'ad-for-oracle',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,mp-0_osdisk,disks,westus,13,not attached to a vm,  25 ,,,"'mp-0_osdisk',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,prd,turkiz-starfish-mampm-prd-002,test2012_osdisk_1_4cb902f1ef1c4a3b9dadf0581552d6a7,disks,centralus,13,not attached to a vm,  25 ,,,"'test2012_osdisk_1_4cb902f1ef1c4a3b9dadf0581552d6a7',",,,"'turkiz-starfish-mampm-prd-002',"
turkiz,prd,turkiz-starfish-click-mamram-prd-001,clone_of_imstocr_datadisk,disks,eastus,13,not attached to a vm,  25 ,,,"'clone_of_imstocr_datadisk',",,,"'turkiz-starfish-click-mamram-prd-001',"
gray,dev,gray-hippo-iafsod-dev-001,sodbuild2-old-disk,disks,northeurope,13,not attached to a vm,  25 ,,,"'sodbuild2-old-disk',",,,"'gray-hippo-iafsod-dev-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,chat-ng-os-disk,disks,eastus,13,not attached to a vm,  25 ,,,"'chat-ng-os-disk',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,dev,turkiz-starfish-metadata-dev-001,gpu-test_osdisk_1_f3a64599cb3e4fe9b1f8f8e24c06f26a,disks,westus,13,not attached to a vm,  25 ,,,"'gpu-test_osdisk_1_f3a64599cb3e4fe9b1f8f8e24c06f26a',",,,"'turkiz-starfish-metadata-dev-001',"
gray,dev,gray-hippo-iafsod-dev-001,sodexchange-osdisk-20201022-081331,disks,northeurope,13,not attached to a vm,  25 ,,,"'sodexchange-osdisk-20201022-081331',",,,"'gray-hippo-iafsod-dev-001',"
turkiz,prd,turkiz-starfish-mampm-prd-002,test2016_osdisk_1_9085694484bb4321ade287dc236c37c5,disks,centralus,13,not attached to a vm,  25 ,,,"'test2016_osdisk_1_9085694484bb4321ade287dc236c37c5',",,,"'turkiz-starfish-mampm-prd-002',"
gray,dev,gray-hippo-iafsod-dev-001,sodbuild2-osdisk-20210607-091219,disks,northeurope,13,not attached to a vm,  25 ,,,"'sodbuild2-osdisk-20210607-091219',",,,"'gray-hippo-iafsod-dev-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,mp-irdisk1,disks,westus,13,not attached to a vm,  25 ,,,"'mp-irdisk1',",,,"'turkiz-starfish-soc60-prd-001',"
gray,dev,gray-hippo-iafsod-dev-001,exrestore-osdisk-20201019-064831,disks,northeurope,13,not attached to a vm,  25 ,,,"'exrestore-osdisk-20201019-064831',",,,"'gray-hippo-iafsod-dev-001',"
turkiz,dev,turkiz-starfish-metadata-dev-001,gpu-test_osdisk_1_07d8689ddd83490c9f0ae012bb89bb09,disks,westus,13,not attached to a vm,  25 ,,,"'gpu-test_osdisk_1_07d8689ddd83490c9f0ae012bb89bb09',",,,"'turkiz-starfish-metadata-dev-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,ad-for-oracle-inv-disk,disks,eastus,13,not attached to a vm,  25 ,,,"'ad-for-oracle-inv-disk',",,,"'turkiz-starfish-soc60-prd-001',"
gray,dev,gray-hippo-iafsod-dev-001,arosod-qnbzh-dynamic-pvc-cffda825-f8dc-4644-908e-d2b0e73b9171,disks,northeurope,13,not attached to a vm,  25 ,,,"'arosod-qnbzh-dynamic-pvc-cffda825-f8dc-4644-908e-d2b0e73b9171',",,,"'gray-hippo-iafsod-dev-001',"
gray,dev,gray-hippo-iafsod-dev-001,arosod-qnbzh-dynamic-pvc-221d57f9-bde2-4f0e-b23e-1aa24d0147aa,disks,northeurope,13,not attached to a vm,  25 ,,,"'arosod-qnbzh-dynamic-pvc-221d57f9-bde2-4f0e-b23e-1aa24d0147aa',",,,"'gray-hippo-iafsod-dev-001',"
